#GeneID	AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	SourceID	DiseaseMIM	LastUpdated
10060	ABCC9		C0007193	Primary dilated cardiomyopathy	SNOMED CT	195021004		16-Feb-16
10060	ABCC9		C0795905	Hypertrichotic osteochondrodysplasia	Office of Rare Diseases	8585	239850	16-Feb-16
10060	ABCC9		C1837839	Dilated cardiomyopathy 1O	NCBI curation	C1837839	608569	16-Feb-16
10060	ABCC9		C3279695	"Atrial fibrillation, familial, 12"	NCBI curation		614050	16-Feb-16
10060		ABCC9	C0004238	Atrial fibrillation	NCBI curation			16-Feb-16
10060		ABCC9	C0340427	Familial dilated cardiomyopathy	Orphanet	217607		16-Feb-16
10060		ABCC9	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
215	ABCD1		C0162309	Adrenoleukodystrophy	Office of Rare Diseases	5758	300100	16-Feb-16
215	ABCD1		C0162309	Adrenoleukodystrophy	SNOMED CT	65389002	300100	16-Feb-16
5825	ABCD3		C4225390	"Bile acid synthesis defect, congenital, 5"	NCBI curation		616278	16-Feb-16
5826	ABCD4		C3553915	"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE"	OMIM	614857	614857	16-Feb-16
5826	ABCD4		CN043592	Disorders of Intracellular Cobalamin Metabolism	GeneTests	296703		16-Feb-16
9429	ABCG2		C1841837	"Uric acid concentration, serum, quantitative trait locus 1"	NCBI curation		138900	16-Feb-16
9429	ABCG2		C3280986	"Blood group, Junior system"	NCBI curation		614490	16-Feb-16
64240	ABCG5		C0342907	Sitosterolemia	GeneTests	3093	210250	16-Feb-16
64240	ABCG5		C0342907	Sitosterolemia	Office of Rare Diseases	7653	210250	16-Feb-16
64240	ABCG5		C0342907	Sitosterolemia	SNOMED CT	238104009	210250	16-Feb-16
64241	ABCG8		C0342907	Sitosterolemia	GeneTests	3093	210250	16-Feb-16
64241	ABCG8		C0342907	Sitosterolemia	Office of Rare Diseases	7653	210250	16-Feb-16
64241	ABCG8		C0342907	Sitosterolemia	SNOMED CT	238104009	210250	16-Feb-16
64241	ABCG8		C1969115	Gallbladder disease 4	NCBI curation		611465	16-Feb-16
26090	ABHD12		C2675204	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"	NCBI curation		612674	16-Feb-16
51099	ABHD5		C0268238	Triglyceride storage disease with ichthyosis	SNOMED CT	19604005	275630	16-Feb-16
28	ABO		C0000778	ABO blood group system	SNOMED CT	63915006	616093	16-Feb-16
31	ACACA		C0268603	Acetyl-CoA: carboxylase deficiency	SNOMED CT	4920001	613933	16-Feb-16
27034	ACAD8		C1969809	Deficiency of isobutyryl-CoA dehydrogenase	SNOMED CT	445274004	611283	16-Feb-16
28976	ACAD9		C1970173	"Acyl-CoA dehydrogenase family, member 9, deficiency of"	"UCLA Clinical Genomics Center, UCLA"		611126	16-Feb-16
34	ACADM		C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency	Office of Rare Diseases	540	201450	16-Feb-16
34	ACADM		C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency	SNOMED CT	128596003	201450	16-Feb-16
34		ACADM	C0268634	Disorder of fatty acid metabolism	SNOMED CT	39929009		16-Feb-16
35	ACADS		C0342783	Deficiency of butyryl-CoA dehydrogenase	SNOMED CT	124166007	201470	16-Feb-16
36	ACADSB		C1864912	Deficiency of 2-methylbutyryl-CoA dehydrogenase	SNOMED CT	444838008	610006	16-Feb-16
37	ACADVL		C0342784	Very long chain acyl-CoA dehydrogenase deficiency	SNOMED CT	237997005	201475	16-Feb-16
37		ACADVL	C0268634	Disorder of fatty acid metabolism	SNOMED CT	39929009		16-Feb-16
176	ACAN		C0029421	Osteochondritis dissecans	Office of Rare Diseases	4133	165800	16-Feb-16
176	ACAN		C0029421	Osteochondritis dissecans	SNOMED CT	82562007	165800	16-Feb-16
176	ACAN		C1842149	"Spondyloepiphyseal dysplasia, kimberley type"	NCBI curation		608361	16-Feb-16
176	ACAN		C2748544	"Spondyloepimetaphyseal dysplasia, Aggrecan type"	Office of Rare Diseases	10513	612813	16-Feb-16
38	ACAT1		C1536500	Deficiency of acetyl-CoA acetyltransferase	Genetic Testing Registry (GTR)	GTR000508814	203750	16-Feb-16
38	ACAT1		C1536500	Deficiency of acetyl-CoA acetyltransferase	"Institute of Inherited Metabolic Disorders,General University Hospital in Prague and First Faculty of Medicine, Charles University in Prague"		203750	16-Feb-16
38	ACAT1		C1536500	Deficiency of acetyl-CoA acetyltransferase	SNOMED CT	124258007	203750	16-Feb-16
38		ACAT1	C1263739	Disorder of organic acid metabolism	SNOMED CT	116021002		16-Feb-16
39	ACAT2		C1863485	Acetyl-CoA acetyltransferase-2 deficiency	NCBI curation		614055	16-Feb-16
65057	ACD		C4225284	"Dyskeratosis congenita, autosomal dominant 6"	NCBI curation		616553	16-Feb-16
1636	ACE		C0002395	Alzheimer's disease	SNOMED CT	26929004	104300	16-Feb-16
1636	ACE		C0007222	Disorder of cardiovascular system	SNOMED CT	49601007		16-Feb-16
1636	ACE		C0019191	"Hemorrhage, intracerebral, susceptibility to"	ClinVar		614519	5-Jun-16
1636	ACE		C0266313	Renal dysplasia	SNOMED CT	204949001	267430	16-Feb-16
1636	ACE		C2675470	Microvascular complications of diabetes 3	NCBI curation		612624	16-Feb-16
43	ACHE		C0443844	Antigen in Cartwright blood group system	SNOMED CT	115719006	112100	16-Feb-16
2532	ACKR1		C0013278	Duffy Blood group system	SNOMED CT	115685001	110700	16-Feb-16
2532	ACKR1		C1970028	Susceptibility to malaria	NCBI curation		611162	16-Feb-16
2532	ACKR1		C2676078	White blood cell count quantitative trait locus 1	NCBI curation		611862	16-Feb-16
50	ACO2		C3281192	Infantile cerebellar-retinal degeneration	NCBI curation		614559	16-Feb-16
50	ACO2		C4225384	Optic atrophy 9	NCBI curation		616289	16-Feb-16
51	ACOX1		C1849678	Pseudoneonatal adrenoleukodystrophy	Office of Rare Diseases	4543	264470	16-Feb-16
51	ACOX1		C1849678	Pseudoneonatal adrenoleukodystrophy	"UCLA Clinical Genomics Center, UCLA"		264470	16-Feb-16
8309	ACOX2		C4310624	"Bile acid synthesis defect, congenital, 6"	NCBI curation		617308	20-Jun-17
53	ACP2		C0268410	Acid phosphatase deficiency	SNOMED CT	57863006	200950	16-Feb-16
93650	ACP4		C4310630	"Amelogenesis imperfecta, type IJ"	NCBI curation		617297	20-Jun-17
54	ACP5		C1842763	Spondyloenchondrodysplasia with immune dysregulation	Genetics Home Reference		607944	16-May-16
197322	ACSF3		C3280314	Combined malonic and methylmalonic aciduria	NCBI curation		614265	16-Feb-16
2182	ACSL4		C1845672	"Mental retardation 63, X-linked"	NCBI curation		300387	16-Feb-16
58	ACTA1		C0546264	Congenital myopathy with fiber type disproportion	SNOMED CT	240084007	255310	16-Feb-16
58	ACTA1		C1834336	Nemaline myopathy 3	Office of Rare Diseases	10111	161800	16-Feb-16
58	ACTA1		C4225181	"Myopathy, scapulohumeroperoneal"	ClinVar		616852	26-May-16
58		ACTA1	C0206157	Nemaline myopathy	SNOMED CT	75072002		16-Feb-16
59	ACTA2		C2673186	"Aortic aneurysm, familial thoracic 6"	NCBI curation		611788	16-Feb-16
59	ACTA2		C3151201	Multisystemic smooth muscle dysfunction syndrome	NCBI curation		613834	16-Feb-16
59	ACTA2		C3279690	Moyamoya disease 5	NCBI curation		614042	16-Feb-16
59		ACTA2	CN118826	Thoracic aortic aneurysm and aortic dissection	GeneTests	3358		16-Feb-16
60	ACTB		C1846331	Juvenile-onset dystonia	GeneTests	320098	607371	16-Feb-16
60	ACTB		C1846331	Juvenile-onset dystonia	Office of Rare Diseases	9818	607371	16-Feb-16
60	ACTB		C1855722	Baraitser-Winter syndrome 1	"Genetic Services Laboratory, University of Chicago"		243310	16-Feb-16
60	ACTB		C1855722	Baraitser-Winter syndrome 1	"Genetic Services Laboratory, University of Chicago"		608578	16-Feb-16
70	ACTC1		C0007193	Primary dilated cardiomyopathy	SNOMED CT	195021004		16-Feb-16
70	ACTC1		C2677506	Familial hypertrophic cardiomyopathy 11	NCBI curation		612098	16-Feb-16
70	ACTC1		C2748552	Atrial septal defect 5	NCBI curation		612794	16-Feb-16
70	ACTC1		C3150681	Dilated cardiomyopathy 1R	NCBI curation	CN035482	613424	16-Feb-16
70		ACTC1	C0018817	Atrial septal defect	NCBI curation			16-Feb-16
70		ACTC1	C0340427	Familial dilated cardiomyopathy	Orphanet	217607		16-Feb-16
70		ACTC1	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
70		ACTC1	C0949658	Primary familial hypertrophic cardiomyopathy	SNOMED CT	83978005		16-Feb-16
71	ACTG1		C1858172	"Deafness, autosomal dominant 20"	NCBI curation		604717	16-Feb-16
71	ACTG1		C3281235	Baraitser-Winter Syndrome 2	NCBI curation		614583	16-Feb-16
71		ACTG1	C0236038	Hereditary hearing loss and deafness	GeneTests	53589		16-Feb-16
71		ACTG1	CN043648	Nonsyndromic hearing loss and deafness	NCBI curation			28-Apr-17
71		ACTG1	CN043649	Autosomal dominant non-syndromic sensorineural deafness type DFNA	Orphanet	90635		22-Jan-17
87	ACTN1		C3554663	Platelet-type bleeding disorder 15	NCBI curation		615193	16-Feb-16
88	ACTN2		C0007193	Primary dilated cardiomyopathy	SNOMED CT	195021004		16-Feb-16
88	ACTN2		C0949658	Primary familial hypertrophic cardiomyopathy	SNOMED CT	83978005		16-Feb-16
88	ACTN2		C2677338	Dilated cardiomyopathy 1AA	NCBI curation	C2677338	612158	16-Feb-16
88		ACTN2	C0340427	Familial dilated cardiomyopathy	Orphanet	217607		16-Feb-16
88		ACTN2	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
81	ACTN4		C0017668	Focal segmental glomerulosclerosis 1	NCBI curation		603278	16-Feb-16
81		ACTN4	CN043606	Focal segmental glomerulosclerosis	ADAM	CN037700		16-Feb-16
81		ACTN4	CN043606	Focal segmental glomerulosclerosis	Office of Rare Diseases	6517		16-Feb-16
81		ACTN4	CN043611	Hereditary nephrotic syndrome	GeneTests	72843		17-Aug-16
81		ACTN4	CN043612	"Hereditary Nephrotic Syndromes, Autosomal Dominant"	GeneTests	72845		16-Feb-16
90	ACVR1		C0016037	Progressive myositis ossificans	Office of Rare Diseases	6445	135100	16-Feb-16
90	ACVR1		C0016037	Progressive myositis ossificans	SNOMED CT	82725007	135100	16-Feb-16
90	ACVR1		C0016037	Progressive myositis ossificans	"UCLA Clinical Genomics Center, UCLA"		135100	16-Feb-16
93	ACVR2B		C3151057	"Heterotaxy, visceral, 4, autosomal"	NCBI curation		613751	16-Feb-16
94	ACVRL1		C1838163	Hereditary hemorrhagic telangiectasia type 2	Office of Rare Diseases	9901	600376	16-Feb-16
94		ACVRL1	C0039445	Osler hemorrhagic telangiectasia syndrome	SNOMED CT	21877004	187300	16-Feb-16
95	ACY1		C1835922	Aminoacylase 1 deficiency	Office of Rare Diseases	9741	609924	16-Feb-16
100	ADA		C1863236	Severe combined immunodeficiency due to ADA deficiency	Office of Rare Diseases	5748	102700	16-Feb-16
100	ADA		C1863236	Severe combined immunodeficiency due to ADA deficiency	"UCLA Clinical Genomics Center, UCLA"		102700	16-Feb-16
100		ADA	C0085110	Severe combined immunodeficiency disease	SNOMED CT	31323000		16-Feb-16
51816	ADA2		C0031036	Polyarteritis nodosa	Office of Rare Diseases	7360	615688	16-Feb-16
51816	ADA2		C0031036	Polyarteritis nodosa	SNOMED CT	155441006	615688	16-Feb-16
51816	ADA2		C0282492	Idiopathic livedo reticularis with systemic involvement	SNOMED CT	238776001	182410	16-Feb-16
102	ADAM10		C0406811	Reticulate acropigmentation of Kitamura	Office of Rare Diseases	9775	615537	16-Feb-16
102	ADAM10		C0406811	Reticulate acropigmentation of Kitamura	SNOMED CT	239133004	615537	16-Feb-16
102	ADAM10		C3810041	Alzheimer disease 18	NCBI curation		615590	16-Feb-16
6868	ADAM17		C3280501	"Inflammatory skin and bowel disease, neonatal 1"	NCBI curation		614328	16-Feb-16
8754	ADAM9		C1423873	Cone-rod dystrophy 9	NCBI curation		612775	16-Feb-16
81794	ADAMTS10		C1869114	Weill-Marchesani syndrome 1	NCBI curation		277600	16-Feb-16
81794		ADAMTS10	C0265313	Weill-Marchesani syndrome	Genetics Home Reference	weill-marchesani-syndrome		16-Feb-16
81794		ADAMTS10	C0265313	Weill-Marchesani syndrome	Office of Rare Diseases	4936		16-Feb-16
11093	ADAMTS13		C1268935	Upshaw-Schulman syndrome	Office of Rare Diseases	9430	274150	16-Feb-16
11093	ADAMTS13		C1268935	Upshaw-Schulman syndrome	SNOMED CT	373420004	274150	16-Feb-16
170691	ADAMTS17		C2750787	Weill-Marchesani-like syndrome	NCBI curation		613195	16-Feb-16
170692	ADAMTS18		C3809567	"Microcornea, myopic chorioretinal atrophy, and telecanthus"	NCBI curation		615458	16-Feb-16
9509	ADAMTS2		C2700425	"Ehlers-Danlos syndrome, type vii, autosomal recessive"	NCBI curation		225410	24-Aug-16
9509		ADAMTS2	C0268345	"Ehlers-Danlos syndrome, procollagen proteinase deficient"	SNOMED CT	55711009	130060	16-Feb-16
9719	ADAMTSL2		C3278147	Geleophysic dysplasia 1	NCBI curation		231050	16-Feb-16
54507	ADAMTSL4		C1644196	Ectopia lentis et pupillae	SNOMED CT	419237004	225200	16-Feb-16
54507	ADAMTSL4		C2673634	"Ectopia lentis, isolated autosomal recessive"	Office of Rare Diseases	2060	225100	16-Feb-16
54507		ADAMTSL4	C0013581	Ectopia lentis	SNOMED CT	74969002		6-Sep-16
103	ADAR		C0406775	Symmetrical dyschromatosis of extremities	SNOMED CT	239085000	127400	16-Feb-16
103	ADAR		C0406775	Symmetrical dyschromatosis of extremities	"UCLA Clinical Genomics Center, UCLA"		127400	16-Feb-16
103	ADAR		C3539013	Aicardi-goutieres syndrome 6	NCBI curation		615010	16-Feb-16
113179	ADAT3		C3809039	"Mental retardation, autosomal recessive 36"	NCBI curation		615286	16-Feb-16
107	ADCY1		C1857809	"Deafness, autosomal recessive 44"	NCBI curation		610154	16-Feb-16
107		ADCY1	C0236038	Hereditary hearing loss and deafness	GeneTests	53589		16-Feb-16
107		ADCY1	CN043648	Nonsyndromic hearing loss and deafness	NCBI curation			28-Apr-17
107		ADCY1	CN043650	"Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive"	GeneTests	53608		16-Feb-16
55811	ADCY10		C0342639	Familial idiopathic hypercalciuria	SNOMED CT	237886009	143870	16-Feb-16
111	ADCY5		C1847627	"Dyskinesia, familial, with facial myokymia"	NCBI curation		606703	16-Feb-16
112	ADCY6		C4225385	Lethal congenital contracture syndrome 8	NCBI curation		616287	16-Feb-16
118	ADD1		C0085580	Essential hypertension	SNOMED CT	59621000	145500	16-Feb-16
120	ADD3		C4310767	"Cerebral palsy, spastic quadriplegic, 3"	NCBI curation		617008	3-Jul-16
30817	ADGRE2		C1852146	Vibratory urticaria	NCBI curation		125630	24-Aug-16
9289	ADGRG1		C1847352	"Polymicrogyria, bilateral frontoparietal"	NCBI curation		606854	16-Feb-16
9289	ADGRG1		C3810405	"Polymicrogyria, bilateral perisylvian, autosomal recessive"	NCBI curation		615752	16-Feb-16
10149	ADGRG2		C4310815	"Vas deferens, congenital bilateral aplasia of, X-linked"	NCBI curation		300985	20-Jun-17
57211	ADGRG6		C4225303	Lethal congenital contracture syndrome 9	NCBI curation		616503	19-Mar-16
84059	ADGRV1		C1854237	"Usher syndrome, type 2C"	Office of Rare Diseases	8497	605472	16-Feb-16
84059	ADGRV1		C1858493	"Febrile seizures, familial, 4"	NCBI curation		604352	16-Feb-16
84059		ADGRV1	C0236038	Hereditary hearing loss and deafness	GeneTests	53589		16-Feb-16
84059		ADGRV1	C0339534	Usher syndrome type 2	SNOMED CT	232058008		16-Feb-16
125	ADH1B		C0001973	Alcohol dependence	NCBI curation		103780	16-Feb-16
126	ADH1C		C0001973	Alcohol dependence	NCBI curation		103780	16-Feb-16
126	ADH1C		C3160718	"Parkinson disease, late-onset"	NCBI curation		168600	16-Feb-16
126		ADH1C	C0030567	Parkinson disease	SNOMED CT	49049000		16-Feb-16
9370	ADIPOQ		C2675517	Serum level of adiponectin 1	NCBI curation		612556	16-Feb-16
132	ADK		C3280381	Hypermethioninemia due to adenosine kinase deficiency	NCBI curation		614300	16-Feb-16
23394	ADNP		C4014538	Helsmoortel-van der aa syndrome	NCBI curation		615873	24-Aug-16
151	ADRA2B		C1842852	"Epilepsy, familial adult myoclonic 2"	NCBI curation		607876	16-Feb-16
153	ADRB1		C1821417	Resting heart rate	SNOMED CT	444981005	607276	16-Feb-16
154	ADRB2		C0028754	Obesity	GeneTests	319194	601665	16-Feb-16
154	ADRB2		C0028754	Obesity	SNOMED CT	414916001	601665	16-Feb-16
154	ADRB2		C1869116	"Asthma, susceptibility to"	Genetic Testing Registry (GTR)	GTR000503198	600807	16-Feb-16
154	ADRB2		C1869116	"Asthma, susceptibility to"	"Laboratory for Molecular Diagnostics,Center for Nephrology and Metabolic Disorders"		600807	16-Feb-16
155	ADRB3		C0028754	Obesity	GeneTests	319194	601665	16-Feb-16
155	ADRB3		C0028754	Obesity	SNOMED CT	414916001	601665	16-Feb-16
158	ADSL		C0268126	Adenylosuccinate lyase deficiency	Office of Rare Diseases	550	103050	16-Feb-16
158	ADSL		C0268126	Adenylosuccinate lyase deficiency	SNOMED CT	15285008	103050	16-Feb-16
122622	ADSSL1		C4310754	"Myopathy, distal, 5"	NCBI curation		617030	24-Aug-16
2334	AFF2		C0751157	FRAXE	SNOMED CT	254288000	309548	16-Feb-16
27125	AFF4		C4085597	Chops syndrome	NCBI curation		616368	16-Feb-16
10939	AFG3L2		C1853249	Spinocerebellar ataxia 28	Office of Rare Diseases	9951	610246	16-Feb-16
10939	AFG3L2		C3280977	"Spastic ataxia 5, autosomal recessive"	NCBI curation		614487	16-Feb-16
174	AFP		C1863080	"Alpha-fetoprotein, hereditary persistence of"	NCBI curation		615970	16-Feb-16
174	AFP		C1863081	Alpha-fetoprotein deficiency	NCBI curation		615969	16-Feb-16
175	AGA		C0268225	Aspartylglycosaminuria	GeneTests	3431	208400	16-Feb-16
175	AGA		C0268225	Aspartylglycosaminuria	Office of Rare Diseases	5854	208400	16-Feb-16
123624	AGBL1		C3809798	"Corneal dystrophy, Fuchs endothelial, 8"	NCBI curation		615523	16-Feb-16
60509	AGBL5		C4310759	Retinitis pigmentosa 75	NCBI curation		617023	24-Aug-16
55750	AGK		C1859317	Cataract and cardiomyopathy	Office of Rare Diseases	1142	212350	16-Feb-16
55750	AGK		C3553494	"Cataract, autosomal recessive congenital 5"	CGC Genetics		614691	16-Feb-16
55750	AGK		C3553494	"Cataract, autosomal recessive congenital 5"	Genetic Testing Registry (GTR)	GTR000522749	614691	16-Feb-16
178	AGL		C0017922	Glycogen storage disease type III	Mendelics Analise Genomica		232400	16-Feb-16
178	AGL		C0017922	Glycogen storage disease type III	SNOMED CT	66937008	232400	16-Feb-16
178		AGL	C0017919	Glycogen storage disease	SNOMED CT	29633007		16-Feb-16
10555	AGPAT2		C1720862	Congenital generalized lipodystrophy type 1	Office of Rare Diseases	84	608594	16-Feb-16
10555		AGPAT2	C0221032	Berardinelli-Seip congenital lipodystrophy	NCBI curation			16-Feb-16
8540	AGPS		C1838612	Rhizomelic chondrodysplasia punctata type 3	NCBI curation		600121	16-Feb-16
8540		AGPS	C0282529	Rhizomelic chondrodysplasia punctata	SNOMED CT	56692003		16-Feb-16
8540		AGPS	CN168920	Peroxisome biogenesis disorders	NCBI curation			16-Feb-16
375790	AGRN		C3808739	"Myasthenic syndrome, congenital, 8"	NCBI curation		615120	24-Aug-16
181	AGRP		C0028754	Obesity	GeneTests	319194	601665	16-Feb-16
181	AGRP		C0028754	Obesity	SNOMED CT	414916001	601665	16-Feb-16
183	AGT		C0085580	Essential hypertension	SNOMED CT	59621000	145500	16-Feb-16
183	AGT		C0266313	Renal dysplasia	SNOMED CT	204949001	267430	16-Feb-16
185	AGTR1		C0085580	Essential hypertension	SNOMED CT	59621000	145500	16-Feb-16
185	AGTR1		C0266313	Renal dysplasia	SNOMED CT	204949001	267430	16-Feb-16
189	AGXT		C0268164	"Primary hyperoxaluria, type I"	SNOMED CT	65520001	259900	16-Feb-16
189		AGXT	C0020501	Primary hyperoxaluria	SNOMED CT	17901006		16-Feb-16
64902	AGXT2		C1859518	Beta-aminoisobutyric aciduria	NCBI curation		210100	20-Jun-17
