rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	Expected P-Value	genes	
237	{Gastric cancer risk after H. pylori infection}, 137215 (3)	C0024623	64	2073	3.86990439694e-12	4.251883745963402e-05	0.000122669548771	CBL,FGF9,HRAS,GRIN2B,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SLIT2,FGF7,KIT,SPTAN1,HBEGF,NRG4,PTK2,ROBO1,PIK3R1,AMPH,CALM3,MET,FGF3,HGF,SOS1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,ANGPT1,RET,DNM2,ERBB4,AP2A1,KRAS,SNX9,PIK3CB,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,SPTBN1,ACTR2,EGF,IL2,PIK3R2,GRB2,FGF4,NRG1,JAK2,SRC,NRAS,AVP,RASGRF1,TEK,FGFR2,IL2RB,ADRB2,PTK6
238	Leukemogenesis	C0598766	32	660	5.28876942241e-12	4.2698241837100825e-05	0.000124132541617	IL3,JAK1,PDGFRB,FGFR4,EGFR,JAK3,WNT5A,RASGRP4,KIT,AGFG1,CALM3,IL2RA,IL2RG,ABL1,IL3RA,SOS1,FGF2,PICALM,FGFR1,CSF2,ANGPT1,AP2A1,PIK3CB,PIK3CA,PTPN11,RASGRP1,RASGRF2,IL2,BIN1,JAK2,NRAS,RASGRF1
239	Neurodegenerative Diseases	C0524851	33	706	5.35904653987e-12	4.287764621456763e-05	0.000193799098331	KL,IL3,GDNF,HSP90AA1,FGFR4,EGFR,FZD4,SPTAN1,CALM3,DLG4,HGF,ABL1,SOS1,TF,ERBB2,KIAA0319,CSF2,DNM2,SPTBN2,PIK3CB,PIK3CA,CDC42,KITLG,UBB,NRTN,SCARB2,LRRK2,NRG1,FYN,RASGRF1,FGF1,ARTN,ADRB2
240	Medulloblastoma	C0025149	30	543	6.09867711887e-12	4.305705059203445e-05	5.88247098471e-05	PDGFRB,EGFR,WNT5A,SLIT2,KIT,IRS2,FGF6,ROBO1,CALM3,MET,HGF,IRS1,SOS1,FGF2,PDGFRA,ERBB2,DVL2,CSF2,RET,DNM2,ERBB4,PDGFB,PIK3CB,TFRC,PIK3CA,SYT1,ABCB1,GRB2,ARTN,IL2RB
241	Rhabdomyosarcoma alveolar	C0035412	33	381	6.29707397337e-12	4.323645496950126e-05	0.000100076687117	ARPC5,HRAS,CLTCL1,PDGFRB,HSP90AA1,FGFR4,EGFR,SPRY1,KIT,CLTC,MET,HGF,IRS1,SOS1,PDGFRA,ERBB2,FGFR1,AP2A1,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,ERBB3,EGF,NRAS,SYNJ1,ARRB1,NCAM1
242	Bipolar affective disorder	C0005586	40	817	6.57629506406e-12	4.3415859346968067e-05	4.34782608696e-05	GDNF,HRAS,GRIN2B,VAMP3,KIT,APOB,VAMP2,GRIN2A,CHRM2,DLG4,IL2RA,SOS1,PDGFRA,KIAA0319,HIP1R,GRIN1,RPS27A,ERBB4,NRTN,RASGRP1,ABCB1,PSPN,CSF2RB,UBC,CAMK2A,VAMP7,GRIN2C,NRG1,GRIN2D,NRAS,AVP,SYNJ1,PLCG1,FYN,RASGRF1,ARTN,FGFR2,NCAM1,IL2RB,ADRB2
243	Neoplasm of the colon	C0009375	36	817	6.77047307107e-12	4.3595263724434874e-05	0.00012177328844	HRAS,HSP90AA1,FGFR4,EGFR,WNT5A,MATK,KIT,PTK2,IRS2,PIK3R1,SHC1,MET,IRS1,PDGFRA,ERBB2,CSF2,FGF18,KRAS,SNX9,FGF19,PIK3CB,PIK3CA,SYT1,KITLG,HIP1,ABCB1,CTTN,ERBB3,EGF,IL2,BIN1,SH3KBP1,JAK2,SRC,FGFR2,PTK6
244	Progressive cGVHD	C3539781	17	161	7.05213665242e-12	4.377466810190169e-05	9.95799464186e-05	HRAS,PDGFRB,EGFR,HGF,ABL1,ERBB2,CSF2,RET,KRAS,PIK3CA,KITLG,ABCB1,ERBB3,IL2,FGF4,NRAS,AVP
245	Progressive Neoplastic Disease	C0677932	17	161	7.05213665242e-12	4.39540724793685e-05	0.000100881401713	HRAS,PDGFRB,EGFR,HGF,ABL1,ERBB2,CSF2,RET,KRAS,PIK3CA,KITLG,ABCB1,ERBB3,IL2,FGF4,NRAS,AVP
246	Urothelial Carcinoma	C0007138	23	391	7.13984427136e-12	4.413347685683531e-05	0.000120160213618	HRAS,EGFR,FGF7,PIK3R1,DAB2,LAT,MET,FGF2,ERBB2,FGFR1,CSF2,ERBB4,KRAS,PIK3CB,SH3GL2,PIK3CA,ABCB1,FGFR3,ERBB3,GAB1,EGF,NRAS,FGFR2
247	Nerve Sheath Tumors	C0206727	11	54	8.5614848544e-12	4.4312881234302116e-05	7.05833940755e-05	PDGFRB,EGFR,SPRY1,KIT,HGF,PDGFRA,ERBB2,KRAS,EGF,NRG1,PDGFA
248	Myeloproliferative Disorders	C0027022	24	245	8.65763016833e-12	4.449228561176893e-05	6.76387201296e-05	CBL,IL3,JAK1,PDGFRB,FGFR4,JAK3,KIT,ABL1,FGF2,PDGFRA,FGFR1,CSF2,RET,PIK3CB,TFRC,PIK3CA,KITLG,PTPN11,ABCB1,SPTBN1,JAK2,NRAS,TEK,IL2RB
250	Gastrointestinal stromal tumor	C0238198	32	340	1.01147978881e-11	4.4851094366702544e-05	0.000112833763997	CBL,PDGFRB,HSP90AA1,FGFR4,EGFR,DIAPH1,SLIT2,KIT,HBEGF,GPNMB,AMPH,MET,IL2RA,FGF3,ABL1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,ANGPT1,KRAS,PIK3CB,PIK3CA,KITLG,ABCB1,FGFR3,SRC,NRAS,PTPN18,TEK,FGFR2
252	Melanoma	C0025202	79	2386	1.1965095581e-11	4.520990312163617e-05	5.40070501275e-05	KL,IL3,JAK1,GDNF,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,IGF2R,DIAPH1,SPRY2,FZD4,KIT,FRS2,PTK2,GPNMB,ROBO1,PIK3R1,LAT,LRP2,GRIN2A,CALM3,SHC1,MET,IL2RA,FGF3,FGF5,CAMK2B,IL2RG,HGF,GFRA1,IRS1,SOS1,TF,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,RET,ERBB4,AP2A1,FGF18,KRAS,PDGFB,RASGRP3,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,IL5,GAB1,EGF,IL2,BIN1,FGF4,NRG1,JAK2,SRC,PDGFA,NRAS,RASGRF1,FGF1,ARTN,TEK,FGFR2,NCAM1,IL2RB,ADRB2
253	Neoplasm by anatomical site	C4023185	29	576	1.23662191598e-11	4.538930749910298e-05	0.000104320987654	CBL,GDNF,HRAS,PDGFRB,EGFR,IGF2R,KIT,AP2S1,PIK3R1,MET,IL2RG,ABL1,PDGFRA,ERBB2,FGFR1,OCRL,RET,KRAS,PDGFB,PIK3CA,NRTN,PTPN11,FGFR3,VAMP7,JAK2,SRC,NRAS,TEK,FGFR2
254	Ovarian epithelial cancer	C0677886	69	2172	1.32385213902e-11	4.5568711876569785e-05	7.06736792646e-05	KL,JAK1,GDNF,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,SLIT2,FGF7,SPRY1,KIT,HBEGF,FRS2,PTK2,IRS2,GPNMB,DAB2,CALM3,MET,IL2RA,FGF3,IL2RG,RAB5A,HGF,ABL1,IRS1,SOS1,FGF2,EREG,PDGFRA,FGF8,ERBB2,FGFR1,CSF2,ANGPT1,ERBB4,CAMK2D,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,ABCB1,CTTN,ERBB3,PTPRA,EGF,IL2,PIK3R2,FGF4,NRG1,JAK2,SRC,PDGFA,NRAS,PLCG1,ARRB1,FGF1,ARTN,TEK,FGFR2,FGF16,PTK6
255	Refractory cancer	C0677936	11	64	1.32637234529e-11	4.57481162540366e-05	0.000128205128205	PDGFRB,EGFR,KIT,MET,ABL1,PDGFRA,ERBB2,KRAS,PIK3CB,PIK3CA,ABCB1
256	gliosarcoma	C0206726	11	64	1.32637234529e-11	4.592752063150341e-05	0.000111242324043	EGFR,KIT,HGF,SOS1,PDGFRA,FGFR1,KITLG,FGFR3,EGF,IL2,PDGFA
257	Osteosarcoma	C0585442	36	936	1.3758549855e-11	4.610692500897022e-05	8.2039038763e-05	IL3,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,IGF2R,KIT,PTK2,LRP2,MET,HGF,IRS1,VAMP8,SOS1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,CSF2,ERBB4,PDGFB,PIK3CB,PIK3CA,SYT1,KITLG,ABCB1,ERBB3,EGF,CAMK2A,JAK2,PDGFA,RASGRF1,FGF1,FGFR2
258	Esophageal Squamous Cell Carcinoma	C0279626	35	888	1.43509648609e-11	4.628632938643703e-05	0.000191857785581	GRIN2B,PDGFRB,EGFR,PTK2,ROBO1,MET,IL2RA,FGF3,HGF,IRS1,SOS1,FGF2,ERBB2,FGFR1,ERBB4,KRAS,FGF19,PTPN12,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,ABCB1,CTTN,SPTBN1,IL5,EGF,GRB2,FGF4,JAK2,AVP,FGFR2,IL2RB,PTK6
259	Prostatic Neoplasms	C0033578	62	1606	1.66575642169e-11	4.646573376390384e-05	6.16160293347e-05	CBL,IL3,JAK1,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,SLIT2,FGF7,HBEGF,NRG4,PTK2,PIK3R1,DAB2,LRP2,SHC1,MET,IL2RA,HGF,IRS1,ARRB2,VAMP8,REPS2,SOS1,FGF2,PDGFRA,FGF8,CDC37,SYNJ2,ERBB2,FGFR1,CSF2,RET,RPS27A,ERBB4,M6PR,KRAS,RASGRP3,PTPN12,PIK3CB,PIK3CA,HIP1,ABCB1,FGFR3,ERBB3,EGF,IL2,BIN1,JAK2,SRC,NRAS,FGF10,FYN,TEK,FGFR2,ADRB2,PTK6
260	Triple Negative Breast Neoplasms	C3539878	28	461	1.70579106396e-11	4.664513814137065e-05	8.01380368098e-05	TRIP10,JAK1,PDGFRB,HSP90AA1,EGFR,KIT,HBEGF,MET,IL2RG,HGF,ABL1,FGF2,PDGFRA,ERBB2,FGFR1,HGS,KRAS,PTPN12,PIK3CB,TFRC,PIK3CA,PTPN11,ABCB1,EGF,IL2,SRC,FGFR2,IL2RB
261	Somatic mutation	C0544886	14	72	1.82647230673e-11	4.682454251883746e-05	0.000228553686614	CBL,HRAS,IGF2R,KIT,MET,PDGFRA,ERBB2,KRAS,PIK3CA,PTPN11,FGFR3,JAK2,NRAS,FGFR2
262	Stomach cancer	C0699791	67	2109	1.84131598857e-11	4.7003946896304276e-05	0.000127116914915	CBL,JAK1,FGF9,HRAS,GRIN2B,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,IGF2R,SLIT2,FGF7,KIT,SPTAN1,HBEGF,NRG4,PTK2,ROBO1,PIK3R1,CALM3,MET,FGF3,HGF,SOS1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,ANGPT1,RET,DNM2,ERBB4,AP2A1,KRAS,SNX9,PIK3CB,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,SPTBN1,ACTR2,EGF,IL2,PIK3R2,GRB2,FGF4,NRG1,JAK2,SRC,PDGFA,NRAS,AVP,RASGRF1,TEK,FGFR2,IL2RB,ADRB2,PTK6
263	Fibrosarcoma	C0016057	22	254	1.8649304323e-11	4.718335127377108e-05	0.000257231864709	JAK1,HRAS,PDGFRB,SPRY2,VAMP3,CALM3,MET,HGF,REPS1,FGF2,ERBB2,CSF2,PDGFB,PIK3CB,PIK3CA,SYT1,KITLG,ABCB1,IL2,NRAS,TEK,IL2RB
264	Malignant Glioma	C0555198	26	412	1.87065918311e-11	4.736275565123789e-05	8.37520938023e-05	PDGFRB,FGFR4,EGFR,SLIT2,KIT,HBEGF,GPNMB,ROBO1,PIK3R1,LAT,MET,HGF,SOS1,FGF2,EREG,PDGFRA,ERBB2,CSF2,ANGPT1,PDGFB,PIK3CB,PIK3CA,EGF,PIK3R2,TEK,FGFR2
265	Hirschsprung disease 1	C2931876	12	72	1.91061610977e-11	4.75421600287047e-05	5.60955852572e-05	GDNF,RASGEF1A,GFRA2,ROBO1,GFRA1,GFRA4,DVL2,RET,NRTN,PSPN,NRG1,ARTN
266	Chronic myeloid leukemia	C0023473	42	822	1.98275840191e-11	4.772156440617151e-05	5.86273242669e-05	CBL,IL3,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,KIT,PTK2,CALM3,IL2RA,HGF,ABL1,ARRB2,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,IL5RA,RET,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,PTPN11,ABCB1,FGFR3,IL5,EGF,IL2,GRB2,JAK2,SRC,NRAS,TEK,NCAM1
267	Lung Neoplasms	C0024121	51	1155	2.08206785146e-11	4.7900968783638325e-05	7.49063670412e-05	JAK1,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,KIT,PTK2,ROBO1,DAB2,LAT,AMPH,MET,HGF,ABL1,TF,EREG,PDGFRA,ERBB2,FGFR1,DVL2,CSF2,ANGPT1,RET,ERBB4,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,RASGRF2,ABCB1,ERBB3,EGF,IL2,NRG1,JAK2,EPS15,NRAS,AVP,ARRB1,FGF1,FGFR2,NCAM1,ADRB2
268	Squamous cell carcinoma	C0007137	66	1855	2.08393302614e-11	4.808037316110513e-05	0.000101551375941	TRIP10,FGF9,HRAS,GRIN2B,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SLIT2,FGF7,FZD4,KIT,HBEGF,PTK2,IRS2,PIK3R1,DAB2,LAT,CALM3,MET,IL2RA,FGF3,HGF,SOS1,FGF2,EREG,PICALM,ERBB2,FGFR1,AP2M1,CSF2,ERBB4,CD4,AP2A1,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,IL5,EGF,IL2,SH3KBP1,CAMK2A,FGF4,NRG1,JAK2,SRC,PDGFA,NRAS,PLCG1,FYN,RASGRF1,FGFR2,NCAM1,PIK3C2A,ADRB2,PTK6
269	Solid tumour	C0280100	36	772	2.12412309963e-11	4.825977753857194e-05	8.5979482169e-05	HRAS,PDGFRB,FGFR4,EGFR,SLIT2,KIT,ROBO1,MET,IL2RA,IL2RG,HGF,ABL1,REPS1,IRS1,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,RET,ERBB4,KRAS,PIK3CB,TFRC,PIK3CA,PTPN11,ABCB1,FGFR3,GAB1,EGF,IL2,BIN1,JAK2,SRC,TEK
271	Carcinoma of colon	C0699790	70	1856	2.30104824084e-11	4.861858629350556e-05	7.61956228046e-05	KL,GDNF,FGF9,HRAS,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,DIAPH1,SPRY2,FGF7,SPRY1,KIT,SPTAN1,HBEGF,PTK2,IRS2,PIK3R1,GRIN2A,CALM3,MET,FGF3,IL2RG,HGF,IRS1,SOS1,FGF2,CDC37,ERBB2,DVL2,CSF2,ANGPT1,RET,DNM2,RPS27A,ERBB4,CD4,FGF18,HGS,KRAS,SNX9,FGF19,PTPN12,PIK3CB,TFRC,PIK3CA,CDC42,HIP1,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,SPTBN1,PTPRA,EGF,IL2,PIK3R2,BIN1,JAK2,SRC,NRAS,AVP,PLCG1,FGF1,TEK,FGFR2,NCAM1,PTK6
272	Vestibular Schwannoma	C0027859	12	89	2.31065167e-11	4.8797990670972374e-05	7.71277750638e-05	GDNF,HRAS,EGFR,MET,HGF,FGF2,ERBB2,CSF2,NRTN,ERBB3,NRG1,ARTN
273	Tumor Progression	C0178874	68	1969	2.33534303007e-11	4.897739504843918e-05	5.65349544073e-05	JAK1,GDNF,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,SLIT2,FZD4,KIT,HBEGF,PTK2,IRS2,GPNMB,DAB2,LAT,AGFG1,CALM3,MET,IL2RA,FGF3,HGF,ABL1,IRS1,ARRB2,SOS1,FGF2,GPC1,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,RET,DNM2,ERBB4,AP2A1,KRAS,FGF19,PTPN12,PIK3CB,PIK3CA,SYT1,CDC42,KITLG,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,SPTBN1,IL5,GAB1,EGF,IL2,BIN1,GRB2,JAK2,SRC,PDGFA,NRAS,PLCG1,ARRB1,FGF1,FGFR2,PTK6
276	Thyroid Neoplasms	C0040136	28	486	2.39223085785e-11	4.951560818083961e-05	0.000145592705167	GDNF,HRAS,FGFR4,EGFR,WNT5A,IGF2R,KIT,PTK2,MET,GFRA1,TF,FGF2,ERBB2,CSF2,RET,KRAS,PDGFB,PIK3CB,PIK3CA,NRTN,ERBB3,EGF,IL2,NRG1,SRC,PDGFA,NRAS,FGFR2
277	Colon cancer	C0007102	60	1727	2.42127429217e-11	4.969501255830643e-05	6.93009118541e-05	KL,GDNF,FGF9,HRAS,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,DIAPH1,SPRY2,KIT,SPTAN1,HBEGF,PTK2,IRS2,PIK3R1,GRIN2A,MET,FGF3,IL2RG,HGF,IRS1,SOS1,FGF2,CDC37,ERBB2,DVL2,CSF2,ANGPT1,RET,DNM2,ERBB4,FGF18,KRAS,SNX9,FGF19,PTPN12,PIK3CB,TFRC,PIK3CA,CDC42,HIP1,PTPN11,ABCB1,CTTN,ERBB3,SPTBN1,EGF,IL2,BIN1,JAK2,SRC,NRAS,AVP,PLCG1,FGF1,FGFR2,NCAM1,PTK6
278	Lymphoma, Large B-Cell, Diffuse	C0024299	56	1362	2.42569297981e-11	4.987441693577324e-05	0.000103585181335	CBL,JAK1,GDNF,CD3G,HRAS,SPTA1,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,SPRY2,MATK,KIT,CLTC,CALM3,MET,IL2RA,IL2RG,HGF,ABL1,ARRB2,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,LDLRAP1,CSF2,RPS27A,CD3D,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,CLTA,SYT1,CDC42,HIP1,PTPN11,ABCB1,FGFR3,IL5,EGF,IL2,UBC,JAK2,SRC,PDGFA,NRAS,ARRB1,RASGRF1,ARTN,NCAM1,PTK6
279	T-cell lymphoma	C0079772	22	302	2.45132802945e-11	5.0053821313240044e-05	0.000146400976007	IL3,JAK1,JAK3,KIT,MET,IL2RA,IL2RG,SOS1,PDGFRA,FGFR1,CSF2,KRAS,RASGRP1,RASGRF2,ABCB1,IL5,PTPRA,IL2,JAK2,RASGRF1,NCAM1,IL2RB
280	Acute Erythroblastic Leukemia	C0023440	18	195	2.49564813259e-11	5.023322569070685e-05	0.000115612312187	FGF9,EGFR,KIT,SPTAN1,ABL1,ERBB2,FGFR1,CSF2,ERBB4,PIK3CB,TFRC,PIK3CA,ABCB1,ERBB3,GAB1,NRG1,JAK2,NRAS
281	Autosomal dominant non-syndromic sensorineural deafness type DFNA	C0443147	48	1262	2.52595722117e-11	5.0412630068173665e-05	8.40230814172e-05	CBL,GDNF,FGF9,HRAS,FGF17,SPTA1,GRIN2B,PDGFRB,WNT5A,IGF2R,DIAPH1,FZD4,KIT,SPTAN1,APOB,PIK3R1,GRIN2A,MET,FGF5,SYT2,SOS1,PDGFRA,FGF8,ERBB2,FGFR1,ACTN2,GRIN1,RET,DNM2,ERBB4,SPTBN2,FGF23,KRAS,PDGFB,PIK3CA,NEFL,KITLG,UBB,PTPN11,FGFR3,PIK3R2,JAK2,SRC,NRAS,AVP,FGF10,TEK,FGFR2
282	Brain neoplasm	C0006118	39	667	2.53442822284e-11	5.059203444564048e-05	0.000112787908171	TRIP10,GDNF,FGF9,HRAS,PDGFRB,EGFR,WNT5A,IGF2R,MATK,SLIT2,KIT,GPNMB,MET,FGF5,IL2RG,HGF,TF,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,RET,ERBB4,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,ABCB1,ERBB3,EGF,IL2,JAK2,SRC,NRAS,TEK,NCAM1
283	Juvenile myelomonocytic leukemia	C0349639	19	116	2.54302134906e-11	5.0771438823107286e-05	6.78383622775e-05	CBL,IL3,PDGFRB,JAK3,KIT,PIK3R1,IL2RG,ABL1,SOS1,CSF2,KRAS,PIK3CB,PIK3CA,PTPN11,PIK3R2,JAK2,SRC,NRAS,TEK
